Player,season17_18,,,,,,,,,,,
Stephen Curry,34682550,,,,,,,,,,,0
LeBron James,33285709,,,,,,,,,,,
Paul Millsap,31269231,,,,,,,,,,,
Gordon Hayward,29727900,,,,,,,,,,,
Blake Griffin,29512900,,,,,,,,,,,
Kyle Lowry,28703704,,,,,,,,,,,
Russell Westbrook,28530608,,,,,,,,,,,
Mike Conley,28530608,,,,,,,,,,,
James Harden,28299399,,,,,,,,,,,
DeMar DeRozan,27739975,,,,,,,,,,,
Al Horford,27734405,,,,,,,,,,,
Carmelo Anthony,26243760,,,,,,,,,,,
Damian Lillard,26153057,,,,,,,,,,,
Jrue Holiday,25686667,,,,,,,,,,,
Chris Bosh,25289390,,,,,,,,,,,
Kevin Durant,2.50E+07,,,,,,,,,,,
Otto Porter,24773250,,,,,,,,,,,
Chris Paul,24599495,,,,,,,,,,,
C.J. McCollum,23962573,,,,,,,,,,,
Bradley Beal,23775506,,,,,,,,,,,
Anthony Davis,23775506,,,,,,,,,,,
Andre Drummond,23775506,,,,,,,,,,,
Hassan Whiteside,23775506,,,,,,,,,,,
Dwight Howard,23500000,,,,,,,,,,,
Chandler Parsons,23112004,,,,,,,,,,,
Harrison Barnes,23112004,,,,,,,,,,,
J.J. Redick,2.30E+07,,,,,,,,,,,
Marc Gasol,22642350,,,,,,,,,,,
Kevin Love,22642350,,,,,,,,,,,
Brook Lopez,22642350,,,,,,,,,,,
DeAndre Jordan,22642350,,,,,,,,,,,
Steven Adams,22471910,,,,,,,,,,,
Giannis Antetokounmpo,22471910,,,,,,,,,,,
Nicolas Batum,22434783,,,,,,,,,,,
Rudy Gobert,21974719,,,,,,,,,,,
LaMarcus Aldridge,21461010,,,,,,,,,,,
Victor Oladipo,2.10E+07,,,,,,,,,,,
Enes Kanter,20566802,,,,,,,,,,,
Danilo Gallinari,20559599,,,,,,,,,,,
Serge Ibaka,20061729,,,,,,,,,,,
George Hill,2.00E+07,,,,,,,,,,,
Ryan Anderson,19578455,,,,,,,,,,,
Paul George,19508958,,,,,,,,,,,
Allen Crabbe,19332500,,,,,,,,,,,
Jimmy Butler,19301070,,,,,,,,,,,
Jeff Teague,1.90E+07,,,,,,,,,,,
Kawhi Leonard,18868625,,,,,,,,,,,
Kyrie Irving,18868625,,,,,,,,,,,
John Wall,18063850,,,,,,,,,,,
DeMarcus Cousins,18063850,,,,,,,,,,,
Greg Monroe,17884176,,,,,,,,,,,
Wesley Matthews,17884176,,,,,,,,,,,
Klay Thompson,17826150,,,,,,,,,,,
Joakim Noah,17765000,,,,,,,,,,,
Kentavious Caldwell-Pope,17745894,,,,,,,,,,,
Luol Deng,17190000,,,,,,,,,,,
Evan Turner,17131148,,,,,,,,,,,
Goran Dragic,17000450,,,,,,,,,,,
Evan Fournier,1.70E+07,,,,,,,,,,,
Bismack Biyombo,1.70E+07,,,,,,,,,,,
Kent Bazemore,16910113,,,,,,,,,,,
